letterNumber,date,originalDate,from,to,location,originalLocation,ucclId
1,1853-08-24,24 August 1853,Samuel L. Clemens,Jane Lampton Clemens,"New York, NY","New York, N.Y",UCCL02711
2,1853-08-31,31 August 1853,Samuel L. Clemens,Jane Lampton Clemens,"New York, NY","New York, N. Y",UCCL02712
3,1853-09-03,3? September 1853,Samuel L. Clemens,Pamela A. Moffett,"New York, NY","New York, N.Y",UCCL02713
4,1853-10-08,8 October 1853,Samuel L. Clemens,Pamela A. Moffett,"New York, NY","New York, N.Y",UCCL00001
5,1853-10-26,26–28 October 1853,Samuel L. Clemens,Orion Clemens,"Philadelphia, PA","Philadelphia, Pa",UCCL00002
5,1853-10-26,26–28 October 1853,Samuel L. Clemens,Henry Clemens,"Philadelphia, PA","Philadelphia, Pa",UCCL00002
6,1853-11-28,28 November 1853,Samuel L. Clemens,Orion Clemens,"Philadelphia, PA","Philadelphia, Pa",UCCL00003
7,1853-12-04,4 December 1853,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"Philadelphia, PA","Philadelphia, Pa",UCCL00004
8,1853-12-05,5 December 1853,Samuel L. Clemens,Pamela A. Moffett,"Philadelphia, PA","Philadelphia, Pa",UCCL00005
9,1853-12-24,24 December 1853,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"Philadelphia, PA","Philadelphia, Pa",UCCL00006
10,1854-02-03,3 February 1854,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"Philadelphia, PA","Philadelphia, Pa",UCCL09400
11,1854-02-18,17 and 18 February 1854,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"Washington, DC","Washington, D.C",UCCL00007
12,1855-02-16,16 February 1855,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"St. Louis, MO","St. Louis, Mo",UCCL00008
13,1855-02-24,24–26 February 1855,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"St. Louis, MO","St. Louis, Mo",UCCL09994
14,1855-03-01,1 March 1855,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"St. Louis, MO","St. Louis, Mo",UCCL09995
15,1855-03-05,5 March 1855,Samuel L. Clemens,Muscatine Tri-Weekly Journal,"St. Louis, MO","St. Louis, Mo",UCCL00009
16,1856-04-20,20 April 1856,Samuel L. Clemens,Mollie Clemens,"Keokuk, IA","Keokuk, Iowa",UCCL11347
17,1856-05-01,May 1856,Samuel L. Clemens,Ann V. Ruffner,"Keokuk, IA","Keokuk, Iowa",UCCL11348
18,1856-05-07,7 May 1856,Samuel L. Clemens,Ann V. Ruffner,"Keokuk, IA","Keokuk, Iowa",UCCL11213
19,1856-05-25,21 and 25 May 1856,Samuel L. Clemens,Ann E. Taylor,"Keokuk, IA","Keokuk, Iowa",UCCL00010
20,1856-06-10,10 June 1856,Samuel L. Clemens,Jane Lampton Clemens,"Keokuk, IA","Keokuk, Iowa",UCCL00011
20,1856-06-10,10 June 1856,Samuel L. Clemens,Pamela A. Moffett,"Keokuk, IA","Keokuk, Iowa",UCCL00011
21,1856-08-05,5 August 1856,Samuel L. Clemens,Henry Clemens,"Keokuk, IA","Keokuk, Iowa",UCCL00012
22,1857-06-01,1 June 1857,Samuel L. Clemens,Ann E. Taylor,"New Orleans, LA","New Orleans, La",UCCL00013
23,1858-03-09,9 March 1858,Samuel L. Clemens,Orion Clemens,"St. Louis, MO","St. Louis, Mo",UCCL00014
23,1858-03-09,9 March 1858,Samuel L. Clemens,Mary E. (Mollie) Clemens,"St. Louis, MO","St. Louis, Mo",UCCL00014
24,1858-06-15,"per Telegraph Operator, 15 June 1858",Samuel L. Clemens,William A. Moffett,"Memphis, TN","Memphis, Tenn",UCCL00015
25,1858-06-18,18 June 1858,Samuel L. Clemens,Mary E. (Mollie) Clemens,"Memphis, TN","Memphis, Tenn",UCCL00016
26,1858-06-21,"per Telegraph Operator, 21 June 1858",Samuel L. Clemens,William A. Moffett,"Memphis, TN","Memphis, Tenn",UCCL00017
27,1859-03-11,9 and 11 March 1859,Samuel L. Clemens,Pamela A. Moffett,"New Orleans, LA","New Orleans, La",UCCL00019
28,1859-07-06,6 July 1859,Samuel L. Clemens,John T. Moore,"Memphis, TN","Memphis, Tenn",UCCL02714
29,1859-10-13,13? October 1859,Samuel L. Clemens,Elizabeth W. Smith,"St. Louis, MO","St. Louis, Mo",UCCL00021
